127.0.0.1 - - [12/Nov/2020:00:27:02 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [12/Nov/2020:00:27:42 +0700] "GET /ClothesShop/resources/vendor/perfect-scrollbar/perfect-scrollbar.min.js;jsessionid=E5BFE085024DF1C9AD8E44C887885CD4 HTTP/1.1" 200 17878
0:0:0:0:0:0:0:1 - - [12/Nov/2020:00:27:42 +0700] "GET /ClothesShop/resources/vendor/sweetalert/sweetalert.min.js;jsessionid=E5BFE085024DF1C9AD8E44C887885CD4 HTTP/1.1" 200 40481
0:0:0:0:0:0:0:1 - - [12/Nov/2020:00:27:43 +0700] "GET /ClothesShop/resources/images/item-cart-02.jpg;jsessionid=E5BFE085024DF1C9AD8E44C887885CD4 HTTP/1.1" 200 2077
0:0:0:0:0:0:0:1 - - [12/Nov/2020:00:27:43 +0700] "GET /ClothesShop/resources/images/item-cart-01.jpg;jsessionid=E5BFE085024DF1C9AD8E44C887885CD4 HTTP/1.1" 200 2812
0:0:0:0:0:0:0:1 - - [12/Nov/2020:00:27:43 +0700] "GET /ClothesShop/resources/js/main.js;jsessionid=E5BFE085024DF1C9AD8E44C887885CD4 HTTP/1.1" 200 8960
0:0:0:0:0:0:0:1 - - [12/Nov/2020:00:27:43 +0700] "GET /ClothesShop/resources/js/product.js;jsessionid=E5BFE085024DF1C9AD8E44C887885CD4 HTTP/1.1" 200 1523
0:0:0:0:0:0:0:1 - - [12/Nov/2020:00:27:43 +0700] "GET /ClothesShop/resources/images/item-cart-03.jpg;jsessionid=E5BFE085024DF1C9AD8E44C887885CD4 HTTP/1.1" 200 2539
0:0:0:0:0:0:0:1 - - [12/Nov/2020:00:27:43 +0700] "GET /ClothesShop/resources/images/icons/icon-close2.png;jsessionid=E5BFE085024DF1C9AD8E44C887885CD4 HTTP/1.1" 200 1129
0:0:0:0:0:0:0:1 - - [12/Nov/2020:00:27:43 +0700] "GET /ClothesShop/resources/images/icons/logo-01.png;jsessionid=E5BFE085024DF1C9AD8E44C887885CD4 HTTP/1.1" 200 2205
0:0:0:0:0:0:0:1 - - [12/Nov/2020:00:27:43 +0700] "GET /ClothesShop/resources/images/icons/icon-heart-01.png;jsessionid=E5BFE085024DF1C9AD8E44C887885CD4 HTTP/1.1" 200 1257
0:0:0:0:0:0:0:1 - - [12/Nov/2020:00:27:43 +0700] "GET /ClothesShop/resources/images/icons/icon-heart-02.png;jsessionid=E5BFE085024DF1C9AD8E44C887885CD4 HTTP/1.1" 200 1187
0:0:0:0:0:0:0:1 - - [12/Nov/2020:00:27:43 +0700] "GET /ClothesShop/resources/images/icons/icon-pay-01.png;jsessionid=E5BFE085024DF1C9AD8E44C887885CD4 HTTP/1.1" 200 2290
0:0:0:0:0:0:0:1 - - [12/Nov/2020:00:27:43 +0700] "GET /ClothesShop/resources/images/icons/icon-pay-02.png;jsessionid=E5BFE085024DF1C9AD8E44C887885CD4 HTTP/1.1" 200 2513
0:0:0:0:0:0:0:1 - - [12/Nov/2020:00:27:43 +0700] "GET /ClothesShop/resources/images/icons/icon-pay-03.png;jsessionid=E5BFE085024DF1C9AD8E44C887885CD4 HTTP/1.1" 200 2812
0:0:0:0:0:0:0:1 - - [12/Nov/2020:00:27:43 +0700] "GET /ClothesShop/resources/images/product-01.jpg;jsessionid=E5BFE085024DF1C9AD8E44C887885CD4 HTTP/1.1" 200 137393
0:0:0:0:0:0:0:1 - - [12/Nov/2020:00:27:43 +0700] "GET /ClothesShop/resources/images/product-02.jpg;jsessionid=E5BFE085024DF1C9AD8E44C887885CD4 HTTP/1.1" 200 108675
0:0:0:0:0:0:0:1 - - [12/Nov/2020:00:27:43 +0700] "GET /ClothesShop/resources/images/icons/icon-pay-05.png;jsessionid=E5BFE085024DF1C9AD8E44C887885CD4 HTTP/1.1" 200 2556
0:0:0:0:0:0:0:1 - - [12/Nov/2020:00:27:43 +0700] "GET /ClothesShop/resources/images/icons/icon-pay-04.png;jsessionid=E5BFE085024DF1C9AD8E44C887885CD4 HTTP/1.1" 200 2494
0:0:0:0:0:0:0:1 - - [12/Nov/2020:00:27:43 +0700] "GET /ClothesShop/resources/images/icons/icon-close.png;jsessionid=E5BFE085024DF1C9AD8E44C887885CD4 HTTP/1.1" 200 1059
0:0:0:0:0:0:0:1 - - [12/Nov/2020:00:27:43 +0700] "GET /ClothesShop/resources/images/product-detail-03.jpg;jsessionid=E5BFE085024DF1C9AD8E44C887885CD4 HTTP/1.1" 200 83313
0:0:0:0:0:0:0:1 - - [12/Nov/2020:00:27:43 +0700] "GET /ClothesShop/resources/images/product-detail-02.jpg;jsessionid=E5BFE085024DF1C9AD8E44C887885CD4 HTTP/1.1" 200 144428
